index,source,target,weight
491,Fannie and John Hertz Foundation,Stanford University,3
492,Fannie and John Hertz Foundation,Google,2
493,Fannie and John Hertz Foundation,Welch Foundation,1
494,Google,Stanford University,5
495,Stanford University,Welch Foundation,1
496,Knight Foundation,United States National Science Foundation (NSF),8
497,Knight Foundation,Open Society Foundations,4
498,Knight Foundation,Microsoft,5
499,Knight Foundation,MacArthur Foundation,4
500,Knight Foundation,William and Flora Hewlett Foundation,11
501,Ford Foundation,Knight Foundation,4
502,Knight Foundation,Robert Wood Johnson Foundation,4
503,MacArthur Foundation,United States National Science Foundation (NSF),211
504,United States National Science Foundation (NSF),William and Flora Hewlett Foundation,125
505,Robert Wood Johnson Foundation,United States National Science Foundation (NSF),159
506,Microsoft,Open Society Foundations,4
507,MacArthur Foundation,Microsoft,4
508,Microsoft,William and Flora Hewlett Foundation,21
509,Ford Foundation,Microsoft,7
510,Microsoft,Robert Wood Johnson Foundation,7
511,MacArthur Foundation,William and Flora Hewlett Foundation,78
512,Ford Foundation,William and Flora Hewlett Foundation,89
513,Robert Wood Johnson Foundation,William and Flora Hewlett Foundation,47
514,Bill and Melinda Gates Foundation,British Academy,7
515,Bill and Melinda Gates Foundation,Robertson Foundation,19
516,United States Department of Defense (DOD),Vallee Foundation,1
517,Simons Foundation,United States Department of Defense (DOD),6
518,Paul G. Allen Family Foundation,United States Department of Defense (DOD),1
519,United States National Science Foundation (NSF),Vallee Foundation,13
520,Paul G. Allen Family Foundation,United States National Science Foundation (NSF),10
521,Fannie and John Hertz Foundation,Vallee Foundation,1
522,Fannie and John Hertz Foundation,Howard Hughes Medical Institute,2
523,Fannie and John Hertz Foundation,Simons Foundation,3
524,Fannie and John Hertz Foundation,Paul G. Allen Family Foundation,1
525,,Vallee Foundation,2
526,,Howard Hughes Medical Institute,16
527,,Paul G. Allen Family Foundation,1
528,Boehringer Ingelheim,Bristol-Myers Squibb,26
529,Boehringer Ingelheim,United States National Institutes of Health (NIH),30
530,Boehringer Ingelheim,W.L. Gore & Associates,6
531,Boehringer Ingelheim,Canadian Institutes of Health Research (CIHR),7
532,Boehringer Ingelheim,Pfizer,26
533,Boehringer Ingelheim,Genentech Roche Holding,25
534,Bristol-Myers Squibb,United States National Institutes of Health (NIH),177
535,Bristol-Myers Squibb,W.L. Gore & Associates,9
536,Bristol-Myers Squibb,Canadian Institutes of Health Research (CIHR),14
537,Bristol-Myers Squibb,Pfizer,143
538,Bristol-Myers Squibb,Genentech Roche Holding,8
539,United States National Institutes of Health (NIH),W.L. Gore & Associates,10
540,Pfizer,United States National Institutes of Health (NIH),307
541,Genentech Roche Holding,United States National Institutes of Health (NIH),20
542,Canadian Institutes of Health Research (CIHR),W.L. Gore & Associates,1
543,Pfizer,W.L. Gore & Associates,5
544,Genentech Roche Holding,W.L. Gore & Associates,1
545,Canadian Institutes of Health Research (CIHR),Pfizer,19
546,Canadian Institutes of Health Research (CIHR),Genentech Roche Holding,3
547,Genentech Roche Holding,Pfizer,22
548,Swedish National Science Foundation,United States National Science Foundation (NSF),20
549,New York Stem Cell Foundation,United States National Science Foundation (NSF),15
550,European Commission,Vallee Foundation,3
551,Swedish National Science Foundation,Vallee Foundation,2
552,Government of Japan,Vallee Foundation,2
553,European Commission,Howard Hughes Medical Institute,53
554,European Commission,Simons Foundation,51
555,European Commission,Paul G. Allen Family Foundation,4
556,European Commission,Government of Japan,170
557,European Commission,New York Stem Cell Foundation,5
558,Government of Japan,United States National Institutes of Health (NIH),170
559,Howard Hughes Medical Institute,Swedish National Science Foundation,7
560,Government of Japan,Howard Hughes Medical Institute,6
561,Simons Foundation,Swedish National Science Foundation,4
562,Paul G. Allen Family Foundation,Swedish National Science Foundation,2
563,Government of Japan,Swedish National Science Foundation,10
564,New York Stem Cell Foundation,Swedish National Science Foundation,2
565,Government of Japan,Paul G. Allen Family Foundation,1
566,Government of Japan,New York Stem Cell Foundation,2
567,,Alfred P. Sloan Foundation,42
568,,New York Stem Cell Foundation,1
569,Alfred P. Sloan Foundation,Stanford University,25
570,New York Stem Cell Foundation,Stanford University,1
571,Alfred P. Sloan Foundation,United States National Institutes of Health (NIH),181
572,Alfred P. Sloan Foundation,New York Stem Cell Foundation,8
573,Pew Charitable Trusts,United States Department of Health and Human Services (HHS),2
574,European Commission,German Research Foundation (DFG),78
575,German Research Foundation (DFG),Swiss National Science Foundation,9
576,Open Society Foundations,Swiss National Science Foundation,1
577,European Commission,Swiss National Science Foundation,161
578,The World Bank,United States National Science Foundation (NSF),19
579,United States Agency for International Development (USAID),United States National Science Foundation (NSF),59
580,American Association of University Women,The World Bank,1
581,The World Bank,United States Agency for International Development (USAID),101
582,American Association of University Women,United States Agency for International Development (USAID),1
583,UK Research and Innovation (UKRI),United States National Science Foundation (NSF),412
584,European Research Council,United States National Science Foundation (NSF),101
585,Paul and Daisy Soros Fellowship for New Americans,UK Research and Innovation (UKRI),13
586,European Research Council,Paul and Daisy Soros Fellowship for New Americans,1
587,European Research Council,UK Research and Innovation (UKRI),98
588,Christopher and Dana Reeve Paralysis Foundation,United States National Science Foundation (NSF),6
589,Reorganization and Plasticity to Accelerate Injury Recovery,United States National Science Foundation (NSF),4
590,Christopher and Dana Reeve Paralysis Foundation,Paul and Daisy Soros Fellowship for New Americans,6
591,Paul and Daisy Soros Fellowship for New Americans,Reorganization and Plasticity to Accelerate Injury Recovery,4
592,Howard Hughes Medical Institute,Stanford University,40
593,Christopher and Dana Reeve Paralysis Foundation,Stanford University,6
594,Reorganization and Plasticity to Accelerate Injury Recovery,Stanford University,4
595,Christopher and Dana Reeve Paralysis Foundation,Howard Hughes Medical Institute,6
596,Howard Hughes Medical Institute,Reorganization and Plasticity to Accelerate Injury Recovery,4
597,Christopher and Dana Reeve Paralysis Foundation,United States National Institutes of Health (NIH),6
598,Reorganization and Plasticity to Accelerate Injury Recovery,United States National Institutes of Health (NIH),4
599,Christopher and Dana Reeve Paralysis Foundation,Reorganization and Plasticity to Accelerate Injury Recovery,4
600,Friends of the McGovern Institute Fellowship,United States National Science Foundation (NSF),3
601,Friends of the McGovern Institute Fellowship,Paul and Daisy Soros Fellowship for New Americans,4
602,Friends of the McGovern Institute Fellowship,Vallee Foundation,4
603,Friends of the McGovern Institute Fellowship,Howard Hughes Medical Institute,2
604,Friends of the McGovern Institute Fellowship,United States National Institutes of Health (NIH),4
605,Friends of the McGovern Institute Fellowship,Simons Foundation,3
606,Friends of the McGovern Institute Fellowship,Paul G. Allen Family Foundation,2
607,Friends of the McGovern Institute Fellowship,New York Stem Cell Foundation,4
608,J. Yang & Family Foundation,United States National Institutes of Health (NIH),5
609,Bill and Melinda Gates Foundation,European Commission,3375
610,National Endowment for the Humanities,Paul and Daisy Soros Fellowship for New Americans,1
611,National Endowment for the Humanities,United States National Institutes of Health (NIH),1
612,Open Society Foundations,Swedish International Development Cooperation Agency (SIDA),1
613,California Institute for Regenerative Medicine,United States National Science Foundation (NSF),8
614,Canadian Institutes of Health Research (CIHR),United States National Science Foundation (NSF),10
615,National Research Foundation of Korea,United States National Science Foundation (NSF),37
616,National Research Foundation of Korea,Paul and Daisy Soros Fellowship for New Americans,1
617,American Heart Association,California Institute for Regenerative Medicine,7
618,American Heart Association,Canadian Institutes of Health Research (CIHR),3
619,American Heart Association,National Research Foundation of Korea,1
620,National Research Foundation of Korea,United States National Institutes of Health (NIH),7
