,dataset,funder_value,frequency
1382,rwj,National Heart Lung and Blood InstituteUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI),45
1383,rwj,NICHDUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),44
1384,rwj,South African Department of Health,44
1385,rwj,Agency for Healthcare Research and Quality (AHRQ)United States Department of Health & Human ServicesAgency for Healthcare Research & Quality,44
1386,rwj,Robert Wood Johnson Foundation Physician Faculty Scholars ProgramRobert Wood Johnson Foundation (RWJF),43
1387,rwj,National Institute of Health/Fogarty International CenterUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Fogarty International Center (FIC),43
1388,rwj,National Center for Public Health Protection,43
1389,rwj,Janssen CilagJohnson & JohnsonJanssen Biotech Inc,42
1390,rwj,Foundation for Science and Technology (FCT)Portuguese Foundation for Science and TechnologyEuropean Commission,42
1391,rwj,Rudd Foundation,42
1392,rwj,"Fondo de Investigacion Sanitaria, Instituto de Salud Carlos III, SpainInstituto de Salud Carlos III",42
1393,rwj,John A. Hartford Foundation,41
1394,rwj,Roswell Park Transdisciplinary Tobacco Use Research Center,41
1395,rwj,National Institute of AgingUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA),40
1396,rwj,US National Institute of Mental HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),40
1397,rwj,Johnson JohnsonJohnson & Johnson,40
1398,rwj,Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC)European Commission  Funding Source: researchfish,40
1399,rwj,NATIONAL CENTER ON MINORITY HEALTH AND HEALTH DISPARITIESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Minority Health & Health Disparities (NIMHD)  Funding Source: NIH RePORTER,40
1400,rwj,Ontario Institute for Cancer Research,39
1401,rwj,National Institute on Alcohol Abuse and AlcoholismUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Alcohol Abuse & Alcoholism (NIAAA),38
1402,rwj,Health & Social Care Research & Development Division of the Public Health Agency,38
1403,rwj,"Japan Ministry of Health, Labour and WelfareMinistry of Health, Labour and Welfare, Japan",38
1404,rwj,Robert Wood Johnson Foundation Health & Society Scholars ProgramRobert Wood Johnson Foundation (RWJF),38
1405,rwj,JPB Foundation,37
1406,rwj,CDCCentre National de la Recherche Scientifique (CNRS)United States Department of Health & Human ServicesCenters for Disease Control & Prevention - USA,36
1407,rwj,Robert Wood Johnson Foundation Health and Society Scholars programRobert Wood Johnson Foundation (RWJF),35
1408,rwj,NIDDKUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Diabetes & Digestive & Kidney Diseases (NIDDK),35
1409,rwj,National Institute of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,34
1410,rwj,Carolina Population Center,34
1411,rwj,California HealthCare Foundation,34
1412,rwj,GenentechRoche HoldingGenentech,34
1413,rwj,New York State Health Foundation,33
1414,rwj,WyethWyeth,33
1415,rwj,National Library of MedicineUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Library of Medicine (NLM),33
1416,rwj,U.S. Department of Veterans AffairsUS Department of Veterans Affairs,33
1417,rwj,Shire,33
1418,rwj,AHRQUnited States Department of Health & Human ServicesAgency for Healthcare Research & Quality,32
1419,rwj,Health Resources and Services AdministrationUnited States Department of Health & Human ServicesUnited States Health Resources & Service Administration (HRSA),32
1420,rwj,Astra ZenecaAstraZeneca,31
1421,rwj,Boehringer IngelheimBoehringer Ingelheim,31
1422,rwj,Economic and Social Research CouncilUK Research & Innovation (UKRI)Economic & Social Research Council (ESRC)  Funding Source: researchfish,31
1423,rwj,Canadian Cancer Society Research InstituteCanadian Cancer Society (CCS),31
1424,rwj,"OFFICE OF THE DIRECTOR, NATIONAL INSTITUTES OF HEALTHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA  Funding Source: NIH RePORTER",30
1425,rwj,Johnson & Johnson PharmaceuticalsJohnson & Johnson,30
1426,rwj,Norwegian Financial Mechanism,30
1427,rwj,NIH Roadmap for Medical ResearchUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,30
1428,rwj,W.K. Kellogg Foundation,29
1429,rwj,Wellcome TrustWellcome TrustEuropean Commission,29
1430,rwj,Bella Pharma,29
1431,rwj,Benta,29
1432,rwj,Center for Excellence on Research in Mental Health (CES University),29
1433,rwj,Robert Wood Johnson Foundation Healthy Eating Research ProgramRobert Wood Johnson Foundation (RWJF),29
1434,rwj,Sanofi,29
1435,rwj,National Cancer Institute of the United StatesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI),29
1436,rwj,Alzheimer's AssociationAlzheimer's Association,29
1437,rwj,TakedaTakeda Pharmaceutical Company Ltd,29
1438,rwj,Doris Duke Charitable FoundationDoris Duke Charitable Foundation (DDCF),29
1439,rwj,Robert Wood Johnson Foundation Future of Nursing Scholars Program,28
1440,rwj,Phenicia,28
1441,rwj,Algorithm,28
1442,rwj,National Center for Advancing Translational SciencesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Advancing Translational Sciences (NCATS),28
1443,rwj,"Ortho-McNeil Pharmaceutical, Inc.",28
1444,rwj,NIAUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA),28
1445,rwj,Fondo de Investigacion SanitariaInstituto de Salud Carlos III,28
1446,rwj,Polish Ministry of Health,28
1447,rwj,NATIONAL INSTITUTE OF DENTAL & CRANIOFACIAL RESEARCHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Dental & Craniofacial Research (NIDCR)  Funding Source: NIH RePORTER,28
1448,rwj,National Cancer Institute of the National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI),27
1449,rwj,Robert Wood Johnson Foundation Health Policy Research Scholars program,27
1450,rwj,Center for Disease Control,27
1451,rwj,"National Heart, Lung and Blood InstituteUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI)",27
1452,rwj,Eli Lilly Romania SRLEli Lilly,27
1453,rwj,State of Sao Paulo Research Foundation (FAPESP)Fundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP),27
1454,rwj,JanssenJohnson & JohnsonJanssen Biotech Inc,27
1455,rwj,NIH/NHLBIUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI),27
1456,rwj,Harold Amos Medical Faculty Development Program of the Robert Wood Johnson Foundation,27
1457,rwj,NATIONAL LIBRARY OF MEDICINEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Library of Medicine (NLM)  Funding Source: NIH RePORTER,27
1458,rwj,"National Heart, Lung, and Blood Institute (NHLBI)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI)",26
1459,rwj,NCIUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI),26
1460,rwj,Russell Sage Foundation,26
1461,rwj,Annie E. Casey Foundation,26
1462,rwj,GenzymeSanofi-AventisGenzyme Corporation,26
1463,rwj,UPO,26
1464,rwj,John Templeton Foundation,26
1465,rwj,Bill and Melinda Gates FoundationBill & Melinda Gates Foundation,26
1466,rwj,Robert Wood Johnson Harold Amos Medical Faculty Development ProgramRobert Wood Johnson Foundation (RWJF),26
1467,rwj,Robert Wood Johnson Foundation Interdisciplinary Nursing Quality Research Initiative,26
1468,rwj,"Instituto de Salud Carlos III, SpainInstituto de Salud Carlos III",26
1469,rwj,DIVISION OF EPIDEMIOLOGY AND CLINICAL APPLICATIONSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Eye Institute (NEI)  Funding Source: NIH RePORTER,26
1470,rwj,BiogenBiogen,26
1471,rwj,Peterson Center on Healthcare,25
1472,rwj,Ortho-McNeil,25
1473,rwj,Smith Richardson Foundation,25
1474,rwj,US National Cancer InstituteUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI),25
1475,rwj,Glaxo Smith KlineGlaxoSmithKline,25
1476,rwj,Laura and John Arnold Foundation,24
1477,rwj,NSFNational Science Foundation (NSF),24
1478,rwj,NATIONAL CENTER FOR INJURY PREVENTION AND CONTROLUnited States Department of Health & Human ServicesCenters for Disease Control & Prevention - USA  Funding Source: NIH RePORTER,24
1479,rwj,Robert Wood Johnson Foundation Clinical Scholars programRobert Wood Johnson Foundation (RWJF),24
1480,rwj,Alexion,24
1481,rwj,Eli Lilly CompanyEli Lilly,24
1482,rwj,Chicago Center for Diabetes Translation Research,23
1483,rwj,Eli Lilly & Company FoundationEli Lilly,23
1484,rwj,Veterans AffairsUS Department of Veterans Affairs  Funding Source: NIH RePORTER,23
1485,rwj,Robert Wood Johnson Foundation Nurse Faculty Scholar Program,23
1486,rwj,MedtronicMedtronic,23
1487,rwj,Centers for Medicare and Medicaid Services,22
1488,rwj,Harold Amos Medical Faculty Development Program,22
1489,rwj,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Diabetes & Digestive & Kidney Diseases (NIDDK),22
1490,rwj,Howard Hughes Medical InstituteHoward Hughes Medical Institute,22
1491,rwj,Ford Foundation,22
1492,rwj,PanAmerican Health Organization (PAHO),22
1493,rwj,OtsukaOtsuka Pharmaceutical,22
1494,rwj,UCBUCB Pharma SA,22
1495,rwj,Fundacion para la Formacion e Investigacion Sanitarias (FFIS) of Murcia,22
1496,rwj,Patient-Centered Outcomes Research InstitutePatient-Centered Outcomes Research Institute - PCORI,21
1497,rwj,Pew Charitable Trusts,21
1498,rwj,"National Heart, Lung, and Blood Institute of the National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI)",21
1499,rwj,CDCUnited States Department of Health & Human ServicesCenters for Disease Control & Prevention - USA,21
1500,hewlett,William and Flora Hewlett Foundation,573
1501,hewlett,Hewlett Foundation,247
1502,hewlett,Wellcome TrustWellcome TrustEuropean Commission,106
1503,hewlett,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENTUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)  Funding Source: NIH RePORTER,70
1504,hewlett,David and Lucile Packard FoundationThe David & Lucile Packard Foundation,54
1505,hewlett,Bill and Melinda Gates FoundationBill & Melinda Gates Foundation,52
1506,hewlett,"Wellcome Trust, UKWellcome Trust",50
1507,hewlett,National Science FoundationNational Science Foundation (NSF),45
1508,hewlett,Rockefeller Foundation,45
1509,hewlett,Mardigian Foundation,41
1510,hewlett,NSFNational Science Foundation (NSF),39
1511,hewlett,Ford Foundation,37
1512,hewlett,NATIONAL INSTITUTE ON AGINGUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA)  Funding Source: NIH RePORTER,28
1513,hewlett,William & Flora Hewlett Foundation,28
1514,hewlett,Wallace Alexander Gerbode Foundation,27
1515,hewlett,University of the Witwatersrand,26
1516,hewlett,John D. and Catherine T. MacArthur Foundation,26
1517,hewlett,Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC)European Commission  Funding Source: researchfish,26
1518,hewlett,Eunice Kennedy Shriver National Institute of Child Health and Human DevelopmentUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),25
1519,hewlett,Sida,24
1520,hewlett,Swedish International Development Cooperation Agency,22
1521,hewlett,MedtronicMedtronic,21
1522,hewlett,Terumo,20
1523,hewlett,Varbedian Aortic Research Fund,18
1524,hewlett,Wellcome Trust (UK)Wellcome Trust,18
1525,hewlett,UM Faculty Group Practice,17
1526,hewlett,Swedish International Cooperation Agency (SIDA),16
1527,hewlett,World BankThe World Bank India,15
1528,hewlett,Andrew W. Mellon Foundation,15
1529,hewlett,Democracy Fund,15
1530,hewlett,Comic Relief (UK),13
1531,hewlett,Bill and Melinda Gates Foundation (USA)Bill & Melinda Gates Foundation,13
1532,hewlett,UK Department for International Development,12
1533,hewlett,Bill & Melinda Gates FoundationBill & Melinda Gates Foundation,12
1534,hewlett,Robert Wood Johnson FoundationRobert Wood Johnson Foundation (RWJF),12
1535,hewlett,Rockefeller Foundation (USA),12
1536,hewlett,William and Flora Hewlett Foundation (USA),12
1537,hewlett,National Institute on AgingUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA),11
1538,hewlett,Spencer Foundation,11
1539,hewlett,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH &HUMAN DEVELOPMENTUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)  Funding Source: NIH RePORTER,11
1540,hewlett,"Medical Research Council, South Africa",11
1541,hewlett,"William and Flora Hewlett Foundation, USA",11
1542,hewlett,National Institute on Aging (NIA) of the NIH,11
1543,hewlett,Alfred P. Sloan FoundationAlfred P. Sloan Foundation,11
1544,hewlett,Swedish International Development Cooperation Agency (SIDA),11
1545,hewlett,Society of Family Planning Research Fund,11
1546,hewlett,Rita Allen Foundation,11
1547,hewlett,International Development Research Centre (IDRC),10
1548,hewlett,Microsoft,10
1549,hewlett,The William and Flora Hewlett Foundation,10
1550,hewlett,South African Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC),10
1551,hewlett,INDEPTH Secretariat,10
1552,hewlett,"Andrew W Mellon Foundation, USA",10
1553,hewlett,University of Michigan Health SystemUniversity of Michigan System,10
1554,hewlett,National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,10
1555,hewlett,"W.L. Gore & Associates, Inc.",10
1556,hewlett,Eunice Kennedy Shriver National Institute of Child Health & Human DevelopmentUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),9
1557,hewlett,Swedish International Development Cooperation (SIDA),9
1558,hewlett,UK Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC),9
1559,hewlett,Carnegie Corporation of New York,9
1560,hewlett,Mellon Foundation,9
1561,hewlett,MacArthur Foundation,9
1562,hewlett,Oak Foundation,9
1563,hewlett,Economic and Social Research CouncilUK Research & Innovation (UKRI)Economic & Social Research Council (ESRC)  Funding Source: researchfish,9
1564,hewlett,Growth and Economic Opportunities for Women (GrOW) initiative,9
1565,hewlett,Adobe,8
1566,hewlett,Varbedian Fund for Aortic Research,8
1567,hewlett,Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC)European Commission,8
1568,hewlett,Department for International Development (DFID)  Funding Source: researchfish,8
1569,hewlett,Sida (Research Cooperation),8
1570,hewlett,Bristol-Myers SquibbBristol-Myers Squibb,8
1571,hewlett,NSF Science & Technology Center,8
1572,hewlett,Research on Obesity and Diabetes among African Migrants (RODAM),7
1573,hewlett,Government of the NetherlandsNetherlands Government,7
1574,hewlett,National Institute of Child Health and Human DevelopmentUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),7
1575,hewlett,anonymous foundation,7
1576,hewlett,"Anglo-American Chairman's Fund, South Africa",7
1577,hewlett,DfID,7
1578,hewlett,MRC/DfID/Wellcome Trust via the Joint Global Health Trials Scheme,7
1579,hewlett,USAIDUnited States Agency for International Development (USAID),7
1580,hewlett,Blue Cross Blue Shield of Michigan,7
1581,hewlett,Starr Foundation,7
1582,hewlett,Government of Sweden,7
1583,hewlett,Social Sciences and Humanities Research Council of CanadaSocial Sciences and Humanities Research Council of Canada (SSHRC),7
1584,hewlett,Flora Hewlett Foundation,6
1585,hewlett,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID)  Funding Source: NIH RePORTER,6
1586,hewlett,Consortium for Research on Unsafe Abortion in Africa,6
1587,hewlett,Giannini Foundation of Agricultural Economics,6
1588,hewlett,Consortium for Advanced Research Training in Africa (CARTA),6
1589,hewlett,DFID,6
1590,hewlett,"Swedish Research Council for Health, Working Life and WelfareSwedish Research CouncilSwedish Research Council for Health Working Life & Welfare (Forte)",6
1591,hewlett,Bill & Melinda Gates FoundationBill & Melinda Gates FoundationCGIAR,6
1592,hewlett,Office of Naval ResearchOffice of Naval Research,6
1593,hewlett,National Research Foundation,6
1594,hewlett,Henry J. Kaiser Family Foundation,6
1595,hewlett,INDEPTH Network,6
1596,hewlett,US Centers for Disease Control and Prevention (CDC)United States Department of Health & Human ServicesCenters for Disease Control & Prevention - USA,6
1597,hewlett,Ethiopian Public Health Association (EPHA),6
1598,hewlett,Medicines Company,6
1599,hewlett,ServierServier,6
1600,hewlett,Energy Foundation,6
1601,hewlett,AIDS Foundation of Amsterdam,6
1602,hewlett,World Health OrganizationWorld Health Organization,6
1603,hewlett,NATIONAL INSTITUTE OF MENTAL HEALTHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH)  Funding Source: NIH RePORTER,6
1604,hewlett,Ethics and Governance of Artificial Intelligence Initiative of the Miami Foundation,6
1605,hewlett,University of Colorado Boulder,5
1606,hewlett,Google,5
1607,hewlett,"W.L. Gore & Associates, Inc",5
1608,hewlett,Swedish International Development Agency,5
1609,hewlett,European UnionEuropean Commission,5
1610,hewlett,NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISMUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Alcohol Abuse & Alcoholism (NIAAA)  Funding Source: NIH RePORTER,5
1611,hewlett,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Advancing Translational Sciences (NCATS)  Funding Source: NIH RePORTER,5
1612,hewlett,NATIONAL CANCER INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI)  Funding Source: NIH RePORTER,5
1613,hewlett,Swedish International Development Agency (SIDA),5
1614,hewlett,Wellcome Trust UKWellcome Trust,5
1615,hewlett,Sida/Research Cooperation,5
1616,hewlett,"Medical Research Council, South AfricaUK Research & Innovation (UKRI)Medical Research Council UK (MRC)",5
1617,hewlett,Gates FoundationBill & Melinda Gates Foundation,5
1618,hewlett,Wallace A. Gerbode Foundation,5
1619,hewlett,SIDA,5
1620,hewlett,Canadian Institutes of Health ResearchCanadian Institutes of Health Research (CIHR),5
1621,hewlett,University of Michigan Cardiovascular Center,5
1622,hewlett,"Forte, the Swedish Research Council for Health, Working Life and Welfare",5
1623,hewlett,European Community Marie Curie Actions IPHTRE project,5
1624,hewlett,Mekelle University,5
1625,hewlett,Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC)European Commission [MC_UP_A900_1123] Funding Source: researchfish,5
1626,hewlett,AstraZenecaAstraZeneca,5
1627,hewlett,EisaiEisai Co Ltd,5
1628,hewlett,Ethicon,5
1629,hewlett,Eli LillyEli Lilly,5
1630,hewlett,GORE,5
1631,hewlett,"Waksman Foundation (Tokyo, Japan)",5
1632,hewlett,"Grants-in-Aid for Scientific ResearchMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI)  Funding Source: KAKEN",5
1633,hewlett,PfizerPfizer,5
1634,hewlett,World Bank Research Committee,5
1635,hewlett,Knight Foundation,5
1636,hewlett,Hewlett Foundation through the Center for Long-Term Cybersecurity,4
1637,hewlett,University of Michigan Faculty Group PracticeUniversity of Michigan System,4
1638,hewlett,National Campaign to Prevent Teen and Unplanned Pregnancy,4
1639,hewlett,"National Research Foundation, South AfricaNational Research Foundation - South Africa",4
1640,hewlett,German Research Foundation (DFG)German Research Foundation (DFG),4
1641,hewlett,Swedish Council for Working Life and Social ResearchSwedish Research CouncilSwedish Research Council for Health Working Life & Welfare (Forte),4
1642,hewlett,Google.Org,4
1643,hewlett,U.S. National Institute on Alcohol Abuse and Alcoholism/National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Alcohol Abuse & Alcoholism (NIAAA),4
1644,hewlett,"National Institute on Aging (NIA) of the National Institutes of Health (NIH), USA",4
1645,hewlett,Society of Family Planning,4
1646,hewlett,National Science Foundation of ChinaNational Natural Science Foundation of China (NSFC),4
1647,hewlett,Planned Parenthood Los Angeles,4
1648,hewlett,NICHDUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),4
1649,hewlett,UK Economic and Social Research CouncilUK Research & Innovation (UKRI)Economic & Social Research Council (ESRC),4
1650,hewlett,Memorial Healthcare Foundation,4
1651,hewlett,William Beaumont Health System Foundation,4
1652,hewlett,Ann Arbor Area Community Foundation,4
1653,hewlett,Allen Foundation,4
1654,hewlett,AstraZeneca Healthcare Foundation,4
1655,hewlett,National Science Foundation (NSF)National Science Foundation (NSF),4
1656,hewlett,Research Council of NorwayResearch Council of Norway,4
1657,hewlett,NIHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,4
1658,hewlett,NATIONAL CENTER FOR RESEARCH RESOURCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Research Resources (NCRR)  Funding Source: NIH RePORTER,4
1659,hewlett,Ann and Bob Aikens,4
1660,hewlett,UK Department for International Development (DFID),4
1661,hewlett,Institute for the Study of Labor (IZA),4
1662,hewlett,Sida/Research Cooperation Unit,4
1663,hewlett,National Institute on Ageing of the NIH,4
1664,hewlett,National Fish and Wildlife Foundation,4
1665,hewlett,Wolf Creek Charitable Foundation,4
1666,hewlett,University of Montana,4
1667,hewlett,US Department of EnergyUnited States Department of Energy (DOE),4
1668,hewlett,Robert C. Atkins Foundation,4
1669,hewlett,Forte,4
1670,hewlett,Government of CanadaCGIAR,4
1671,hewlett,"Andrew W. Mellon Foundation, USA",4
1672,hewlett,TakedaTakeda Pharmaceutical Company Ltd,4
1673,hewlett,Sanofi-AventisSanofi-Aventis,4
1674,hewlett,Schering-PloughMerck & CompanySchering Plough Corporation,4
1675,hewlett,National Institutes of Health (NIH)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,4
1676,hewlett,US Centers for Disease Control and PreventionUnited States Department of Health & Human ServicesCenters for Disease Control & Prevention - USA,4
1677,hewlett,GlaxoSmithKlineGlaxoSmithKline,4
1678,hewlett,National Research Foundation (NRF),4
1679,hewlett,sanofi-aventisSanofi-Aventis,4
1680,hewlett,BP,4
1681,hewlett,Boehringer IngelheimBoehringer Ingelheim,4
1682,hewlett,Intel CorporationIntel Corporation,4
1683,hewlett,John Templeton Foundation,4
1684,hewlett,PEDL,4
1685,hewlett,3ie,4
1686,hewlett,Barrett Hazeltine Fellowship for Graduate Research in Entrepreneurship,4
1687,hewlett,Population Studies Center at Brown University,4
1688,hewlett,Watson Institute for International Studies,4
1689,hewlett,ClimateWorks Foundation,4
1690,hewlett,Dutch Ministry of Foreign Affairs,4
1691,hewlett,Qualcomm,3
1692,hewlett,NSF Science and Technology CenterNational Science Foundation (NSF),3
1693,hewlett,Sherri Aversa Memorial Foundation Dissertation Completion Grant,3
1694,hewlett,US National Institute on AgingUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA),3
1695,hewlett,Robert and Anne Aikens,3
1696,hewlett,Safe Abortion Action Fund,3
1697,hewlett,Wallonia-Brussels Federation of Belgium,3
1698,hewlett,South African Medical Research Council (SAMRC)UK Research & Innovation (UKRI)Medical Research Council UK (MRC),3
1699,hewlett,National Institute of Food and Agriculture (NIFA),3
1700,hewlett,FAS,3
1701,hewlett,Direct For Education and Human ResourcesNational Science Foundation (NSF)NSF- Directorate for Education & Human Resources (EHR)  Funding Source: National Science Foundation,3
1702,hewlett,International Development Research Centre,3
1703,hewlett,APHRC,3
1704,hewlett,Grand Challenges CanadaCGIAR,3
1705,hewlett,United States Agency for International DevelopmentUnited States Agency for International Development (USAID),3
1706,hewlett,Irish AidCGIAR,3
1707,hewlett,Canadian Foundation for InnovationCanada Foundation for Innovation,3
1708,hewlett,National Cancer InstituteUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI),3
1709,hewlett,European Union International Research Staff Exchange Scheme,3
1710,hewlett,Institute of International Education,3
1711,hewlett,Thompson Foundation,3
1712,hewlett,Gore,3
1713,hewlett,Institut de Recherche pour le Developpement (IRD),3
1714,hewlett,FOGARTY INTERNATIONAL CENTERUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Fogarty International Center (FIC)  Funding Source: NIH RePORTER,3
1715,hewlett,,3
1716,hewlett,NIH/NICHDUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),3
1717,hewlett,Petroleum Association of Wyoming,3
1718,hewlett,Montana Cooperative Fish and Wildlife Research Unit,3
1719,hewlett,Western Gas Resources Incorporated,3
1720,hewlett,Bighorn Environmental Consulting,3
1721,hewlett,Liz Claiborne and Art Ortenberg Foundation,3
1722,hewlett,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),3
1723,hewlett,NASA through Space Telescope Science InstituteSpace Telescope Science Institute,3
1724,hewlett,NASANational Aeronautics & Space Administration (NASA),3
1725,hewlett,Hewlett Foundation Stanford Graduate Fellowship,3
1726,hewlett,US Department of Energy Office of ScienceUnited States Department of Energy (DOE),3
1727,hewlett,Canadian Space AgencyCanadian Space Agency,3
1728,hewlett,Robert Beard Foundation,3
1729,hewlett,EPHA-CDC [5U22/PS022179_10],3
1730,hewlett,KEMRI,3
1731,hewlett,CDCUnited States Department of Health & Human ServicesCenters for Disease Control & Prevention - USA,3
1732,hewlett,European CommunityEuropean Commission,3
1733,hewlett,Government of Australia,3
1734,hewlett,Government of Bangladesh,3
1735,hewlett,Government of UK,3
1736,hewlett,KEM Hospital Research Centre,3
1737,hewlett,Amarin,3
1738,hewlett,CV Therapeutics,3
1739,hewlett,Datascope,3
1740,hewlett,Marquet,3
1741,hewlett,Immpact,3
1742,hewlett,World Health Organization (WHO Second Generation Surveillance on HIV/AIDS),3
1743,hewlett,"Medical Research Council (MRC), South AfricaUK Research & Innovation (UKRI)Medical Research Council UK (MRC)",3
1744,hewlett,"Flora and William Hewlett Foundation, USA",3
1745,hewlett,NovartisNovartis,3
1746,hewlett,National Institute of Mental HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),3
1747,hewlett,Varbedian Fund,3
1748,hewlett,David and Lucille Packard FoundationThe David & Lucile Packard Foundation,3
1749,hewlett,University of Colorado,3
